Player,span,matches,innings,dismissals,catches,stumpings,max dismissals in innings,dismissals/innings
MS Wade (AUS),2021-2021,7,7,9,9,-,2 (2ct 0st),1.285
MH Cross (SCOT),2021-2021,8,8,8,6,2,4 (3ct 1st),1
Nurul Hasan (BAN),2021-2021,5,5,5,5,-,3 (3ct 0st),1
JC Buttler (ENG),2021-2021,6,6,5,4,1,2 (2ct 0st),0.833
ZE Green (NAM),2021-2021,8,8,5,5,-,1 (1ct 0st),0.625
DP Conway (NZ),2021-2021,6,5,4,4,-,1 (1ct 0st),0.8
Mohammad Shahzad (AFG),2021-2021,5,5,4,4,-,1 (1ct 0st),0.8
Mohammad Rizwan (PAK),2021-2021,6,6,4,4,-,2 (2ct 0st),0.666
MDKJ Perera (SL),2021-2021,8,8,4,3,1,2 (2ct 0st),0.5
NA Rock (IRE),2021-2021,3,3,2,2,-,1 (1ct 0st),0.666
RR Pant (IND),2021-2021,5,5,2,1,1,2 (1ct 1st),0.4
H Klaasen (SA),2021-2021,2,1,1,1,-,1 (1ct 0st),1
Naseem Khushi (OMA),2021-2021,3,2,1,1,-,1 (1ct 0st),0.5
SA Edwards (NED),2021-2021,3,3,1,1,-,1 (1ct 0st),0.333
Suraj Kumar (OMA),2021-2021,1,1,-,-,-,0,-
TL Seifert (NZ),2021-2021,2,2,-,-,-,0,-
K Doriga (PNG),2021-2021,3,3,-,-,-,0,-
Litton Das (BAN),2021-2021,8,3,-,-,-,0,-
Q de Kock (SA),2021-2021,4,4,-,-,-,0,-
N Pooran (WI),2021-2021,5,5,-,-,-,0,-
